edad,salario,departamento,experiencia,satisfaccion
25,35000.0,IT,1.0,alta
32,,ventas,5.0,media
45,85000.0,IT,20.0,alta
28,42000.0,RRHH,3.0,
51,95000.0,Gerencia,25.0,alta
23,28000.0,ventas,,baja
38,67000.0,IT,12.0,alta
29,39000.0,RRHH,4.0,media
47,,ventas,18.0,media
34,54000.0,IT,9.0,alta
26,31000.0,ventas,2.0,baja
55,110000.0,Gerencia,30.0,alta
31,48000.0,IT,6.0,media
42,72000.0,RRHH,17.0,alta
27,,ventas,3.0,baja
36,58000.0,IT,10.0,media
49,88000.0,Gerencia,22.0,alta
33,51000.0,RRHH,8.0,media
24,29000.0,ventas,1.0,baja
40,75000.0,IT,15.0,alta
