edad,salario,departamento,experiencia,satisfaccion
50,57488.0,Finanzas,1.0,alta
36,43116.0,Ventas,4.0,baja
29,81446.0,Ventas,28.0,media
42,81179.0,IT,18.0,alta
40,52182.0,Marketing,7.0,alta
44,42626.0,RRHH,0.0,media
32,78924.0,Marketing,21.0,alta
32,61933.0,RRHH,16.0,alta
45,,Gerencia,6.0,alta
57,77980.0,Marketing,24.0,media
45,92556.0,Gerencia,3.0,alta
24,49484.0,Ventas,5.0,media
43,78791.0,Ventas,30.0,alta
23,,IT,18.0,alta
45,85635.0,Marketing,26.0,alta
51,100755.0,Gerencia,9.0,alta
59,78110.0,RRHH,25.0,media
23,61607.0,Ventas,18.0,media
42,41179.0,Ventas,2.0,baja
54,61573.0,RRHH,12.0,baja
33,126484.0,Gerencia,27.0,alta
43,119276.0,Gerencia,19.0,media
46,84176.0,Marketing,27.0,alta
48,53880.0,Marketing,7.0,baja
49,,Finanzas,0.0,alta
37,66782.0,Finanzas,2.0,
36,69050.0,IT,12.0,baja
24,77133.0,Ventas,27.0,media
58,82342.0,Marketing,24.0,media
28,133959.0,Gerencia,32.0,alta
42,50559.0,RRHH,5.0,
30,140384.0,Gerencia,31.0,alta
39,68655.0,Ventas,20.0,alta
25,81973.0,Finanzas,15.0,alta
46,117946.0,Gerencia,20.0,alta
35,72725.0,IT,10.0,baja
30,84526.0,Ventas,34.0,alta
47,85224.0,Finanzas,18.0,media
23,67375.0,RRHH,19.0,alta
41,82263.0,Finanzas,17.0,media
49,78212.0,IT,13.0,media
28,59797.0,Ventas,14.0,media
29,91208.0,RRHH,30.0,alta
56,57099.0,IT,0.0,
35,63109.0,Finanzas,2.0,alta
38,79144.0,IT,15.0,alta
57,66116.0,Ventas,22.0,alta
25,57433.0,Marketing,10.0,alta
23,71963.0,IT,11.0,alta
27,64083.0,IT,9.0,alta
25,110086.0,Finanzas,31.0,alta
50,,Finanzas,15.0,
39,51667.0,RRHH,7.0,baja
47,79965.0,Finanzas,11.0,alta
55,120889.0,Gerencia,23.0,media
31,81857.0,Ventas,27.0,alta
57,53259.0,Ventas,7.0,alta
35,86654.0,Marketing,27.0,alta
52,82920.0,Marketing,25.0,alta
36,52420.0,Ventas,,alta
29,82543.0,Marketing,27.0,alta
35,81697.0,RRHH,27.0,alta
44,97496.0,Finanzas,,alta
42,57778.0,Ventas,16.0,media
37,52213.0,Marketing,8.0,alta
39,84762.0,Ventas,32.0,alta
45,123268.0,Gerencia,19.0,media
47,74731.0,IT,12.0,media
46,98617.0,Finanzas,27.0,alta
50,,Ventas,28.0,media
36,76783.0,IT,12.0,alta
22,93720.0,Marketing,34.0,alta
46,66405.0,IT,5.0,baja
28,89627.0,Finanzas,17.0,alta
30,45047.0,Ventas,4.0,media
45,129032.0,Gerencia,24.0,alta
22,41501.0,Marketing,1.0,media
29,52868.0,Ventas,9.0,alta
45,100449.0,Finanzas,29.0,alta
32,52732.0,Marketing,4.0,alta
38,92833.0,RRHH,32.0,alta
29,50917.0,IT,0.0,baja
56,83674.0,Finanzas,17.0,media
56,90514.0,RRHH,31.0,alta
54,48089.0,Ventas,10.0,media
26,116709.0,Gerencia,20.0,
49,80541.0,Marketing,25.0,alta
28,86105.0,IT,24.0,alta
30,80578.0,Marketing,21.0,alta
29,80619.0,Ventas,26.0,
33,59895.0,Marketing,12.0,media
55,104090.0,IT,32.0,alta
54,91008.0,Ventas,33.0,alta
44,97082.0,Marketing,34.0,alta
45,85634.0,Gerencia,0.0,media
58,,Finanzas,20.0,alta
56,42556.0,Ventas,,baja
43,102417.0,Finanzas,27.0,alta
48,60144.0,Ventas,16.0,media
56,100631.0,Gerencia,4.0,alta
22,100552.0,Finanzas,30.0,alta
56,51907.0,RRHH,4.0,alta
58,58383.0,IT,,media
35,73911.0,RRHH,22.0,alta
24,63405.0,Marketing,9.0,
22,101889.0,Gerencia,9.0,alta
26,73299.0,RRHH,18.0,
47,65442.0,Ventas,16.0,alta
35,72430.0,Marketing,20.0,baja
48,59958.0,Marketing,,baja
30,49207.0,RRHH,8.0,baja
36,37899.0,RRHH,0.0,baja
36,103021.0,Gerencia,12.0,alta
47,63101.0,IT,3.0,media
34,37894.0,RRHH,,baja
53,84014.0,RRHH,31.0,media
53,111794.0,Finanzas,33.0,alta
25,78404.0,Ventas,27.0,alta
51,107867.0,Finanzas,30.0,alta
58,69609.0,Finanzas,7.0,alta
44,84679.0,Marketing,25.0,alta
36,101060.0,IT,33.0,alta
50,37266.0,Ventas,2.0,baja
57,105138.0,Gerencia,11.0,alta
34,93941.0,Gerencia,0.0,alta
53,46427.0,RRHH,4.0,baja
28,85280.0,RRHH,29.0,media
43,130427.0,Gerencia,29.0,media
49,63356.0,RRHH,16.0,media
23,87790.0,IT,22.0,
27,76306.0,Finanzas,14.0,alta
49,74979.0,RRHH,20.0,media
49,63165.0,Marketing,13.0,alta
41,45557.0,RRHH,1.0,baja
51,48661.0,Ventas,10.0,media
32,104144.0,IT,33.0,media
49,,Ventas,33.0,alta
46,61420.0,Ventas,17.0,media
54,92774.0,Marketing,29.0,alta
22,79946.0,IT,14.0,media
48,95236.0,IT,26.0,alta
34,105578.0,IT,33.0,
24,98352.0,IT,32.0,alta
27,93594.0,IT,23.0,alta
29,,Marketing,14.0,alta
48,80658.0,RRHH,29.0,alta
30,57956.0,Ventas,16.0,media
58,58071.0,IT,4.0,media
54,87595.0,RRHH,28.0,alta
45,51079.0,RRHH,3.0,alta
36,,Ventas,9.0,baja
53,70675.0,Marketing,16.0,alta
53,99455.0,Gerencia,9.0,alta
45,115295.0,Gerencia,16.0,alta
33,67212.0,RRHH,19.0,baja
23,94203.0,Finanzas,23.0,alta
24,67563.0,Finanzas,4.0,alta
58,91965.0,Ventas,33.0,alta
38,98131.0,Gerencia,5.0,alta
23,48133.0,RRHH,1.0,baja
23,67989.0,Marketing,12.0,media
49,101394.0,Gerencia,10.0,alta
44,79461.0,RRHH,22.0,
58,64232.0,RRHH,15.0,alta
53,98714.0,IT,30.0,alta
54,55529.0,Marketing,10.0,media
22,75458.0,IT,15.0,alta
40,51404.0,Ventas,7.0,alta
23,58091.0,IT,3.0,alta
47,61395.0,IT,3.0,
53,130131.0,Gerencia,24.0,alta
27,58525.0,Finanzas,2.0,media
53,89977.0,RRHH,31.0,alta
25,43001.0,Marketing,2.0,baja
32,89374.0,IT,26.0,alta
